STATE,Crime,value
Madhya Pradesh,MURDER,28399
Madhya Pradesh,OTHER IPC CRIMES,1196582
Madhya Pradesh,OTHER RAPE,36086
Madhya Pradesh,RAPE,36087
Madhya Pradesh,TOTAL IPC CRIMES,2413770
Maharashtra,ARSON,14515
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39219
Maharashtra,ATTEMPT TO MURDER,20589
Maharashtra,CAUSING DEATH BY NEGLIGENCE,134613
Maharashtra,CRUELTY BY HUSBAND OR HIS RELATIVES,80363
Maharashtra,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1409
Maharashtra,CUSTODIAL RAPE,2
Maharashtra,DOWRY DEATHS,4249
Maharashtra,HURT/GREVIOUS HURT,353760
Maharashtra,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,2
Maharashtra,INSULT TO MODESTY OF WOMEN,12110
Maharashtra,KIDNAPPING & ABDUCTION,15101
Maharashtra,MURDER,32767
Maharashtra,OTHER IPC CRIMES,560060
Maharashtra,OTHER RAPE,17984
Maharashtra,RAPE,17986
Maharashtra,TOTAL IPC CRIMES,2273436
Manipur,ARSON,952
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,504
Manipur,ATTEMPT TO MURDER,3536
Manipur,CAUSING DEATH BY NEGLIGENCE,87
Manipur,CRUELTY BY HUSBAND OR HIS RELATIVES,219
Manipur,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,42
Manipur,CUSTODIAL RAPE,0
Manipur,DOWRY DEATHS,2
Manipur,HURT/GREVIOUS HURT,3433
Manipur,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Manipur,INSULT TO MODESTY OF WOMEN,3
Manipur,KIDNAPPING & ABDUCTION,1811
Manipur,MURDER,1955
Manipur,OTHER IPC CRIMES,12737
Manipur,OTHER RAPE,387
Manipur,RAPE,387
Manipur,TOTAL IPC CRIMES,35072
Meghalaya,ARSON,443
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,532
Meghalaya,ATTEMPT TO MURDER,601
Meghalaya,CAUSING DEATH BY NEGLIGENCE,682
Meghalaya,CRUELTY BY HUSBAND OR HIS RELATIVES,165
Meghalaya,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,84
Meghalaya,CUSTODIAL RAPE,0
Meghalaya,DOWRY DEATHS,15
Meghalaya,HURT/GREVIOUS HURT,1736
Meghalaya,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,4
Meghalaya,INSULT TO MODESTY OF WOMEN,8
Meghalaya,KIDNAPPING & ABDUCTION,729
Meghalaya,MURDER,1730
Meghalaya,OTHER IPC CRIMES,6264
Meghalaya,OTHER RAPE,1020
Meghalaya,RAPE,1020
Meghalaya,TOTAL IPC CRIMES,25249
Mizoram,ARSON,267
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,816
Mizoram,ATTEMPT TO MURDER,258
Mizoram,CAUSING DEATH BY NEGLIGENCE,315
Mizoram,CRUELTY BY HUSBAND OR HIS RELATIVES,54
Mizoram,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,67
Mizoram,CUSTODIAL RAPE,1
Mizoram,DOWRY DEATHS,4
Mizoram,HURT/GREVIOUS HURT,1216
Mizoram,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,3
Mizoram,INSULT TO MODESTY OF WOMEN,6
Mizoram,KIDNAPPING & ABDUCTION,96
Mizoram,MURDER,403
Mizoram,OTHER IPC CRIMES,5912
Mizoram,OTHER RAPE,825
Mizoram,RAPE,826
Mizoram,TOTAL IPC CRIMES,26146
Nagaland,ARSON,70
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,96
Nagaland,ATTEMPT TO MURDER,464
Nagaland,CAUSING DEATH BY NEGLIGENCE,372
Nagaland,CRUELTY BY HUSBAND OR HIS RELATIVES,9
Nagaland,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,101
Nagaland,CUSTODIAL RAPE,0
Nagaland,DOWRY DEATHS,0
Nagaland,HURT/GREVIOUS HURT,532
Nagaland,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,1
Nagaland,INSULT TO MODESTY OF WOMEN,10
Nagaland,KIDNAPPING & ABDUCTION,392
Nagaland,MURDER,1038
Nagaland,OTHER IPC CRIMES,3050
Nagaland,OTHER RAPE,220
Nagaland,RAPE,220
Nagaland,TOTAL IPC CRIMES,13133
Odisha,ARSON,5280
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29946
Odisha,ATTEMPT TO MURDER,15652
Odisha,CAUSING DEATH BY NEGLIGENCE,36507
Odisha,CRUELTY BY HUSBAND OR HIS RELATIVES,18697
Odisha,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,698
Odisha,CUSTODIAL RAPE,0
Odisha,DOWRY DEATHS,4555
Odisha,HURT/GREVIOUS HURT,75761
Odisha,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,18
Odisha,INSULT TO MODESTY OF WOMEN,2939
Odisha,KIDNAPPING & ABDUCTION,9729
Odisha,MURDER,14453
Odisha,OTHER IPC CRIMES,246206
Odisha,OTHER RAPE,11430
Odisha,RAPE,11430
Odisha,TOTAL IPC CRIMES,647946
Puducherry,ARSON,190
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,613
Puducherry,ATTEMPT TO MURDER,343
Puducherry,CAUSING DEATH BY NEGLIGENCE,2602
Puducherry,CRUELTY BY HUSBAND OR HIS RELATIVES,105
Puducherry,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,78
Puducherry,CUSTODIAL RAPE,0
Puducherry,DOWRY DEATHS,26
Puducherry,HURT/GREVIOUS HURT,10694
Puducherry,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Puducherry,INSULT TO MODESTY OF WOMEN,284
Puducherry,KIDNAPPING & ABDUCTION,169
Puducherry,MURDER,357
Puducherry,OTHER IPC CRIMES,27490
Puducherry,OTHER RAPE,77
Puducherry,RAPE,77
Puducherry,TOTAL IPC CRIMES,54116
Punjab,ARSON,907
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4047
Punjab,ATTEMPT TO MURDER,10397
Punjab,CAUSING DEATH BY NEGLIGENCE,33339
Punjab,CRUELTY BY HUSBAND OR HIS RELATIVES,11998
Punjab,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1558
Punjab,CUSTODIAL RAPE,1
Punjab,DOWRY DEATHS,1546
Punjab,HURT/GREVIOUS HURT,56920
Punjab,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,2
Punjab,INSULT TO MODESTY OF WOMEN,762
Punjab,KIDNAPPING & ABDUCTION,7619
Punjab,MURDER,9493
Punjab,OTHER IPC CRIMES,116027
Punjab,OTHER RAPE,5458
Punjab,RAPE,5459
Punjab,TOTAL IPC CRIMES,384131
Rajasthan,ARSON,8312
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30853
Rajasthan,ATTEMPT TO MURDER,21342
Rajasthan,CAUSING DEATH BY NEGLIGENCE,78350
Rajasthan,CRUELTY BY HUSBAND OR HIS RELATIVES,100101
Rajasthan,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,889
Rajasthan,CUSTODIAL RAPE,0
Rajasthan,DOWRY DEATHS,5066
Rajasthan,HURT/GREVIOUS HURT,267353
Rajasthan,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,6
Rajasthan,INSULT TO MODESTY OF WOMEN,354
Rajasthan,KIDNAPPING & ABDUCTION,30727
Rajasthan,MURDER,15844
Rajasthan,OTHER IPC CRIMES,784991
Rajasthan,OTHER RAPE,15798
Rajasthan,RAPE,15798
Rajasthan,TOTAL IPC CRIMES,1855916
Sikkim,ARSON,80
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,230
Sikkim,ATTEMPT TO MURDER,111
